,Name of user,Competition Name,Label,Ranking
97,80,Best International Future Lawyer Award 2017,0,0.0
98,80,Archasm Architecture Competition 2017,0,0.03254239300756031
99,80,4th National Essay Writing Competition 2018,0,0.08796500908668263
100,80,India?s Storytellers/ Script Contest 2017-2018,0,0.4243530348184118
101,80,Third National Essay Competition on Water 2017-18,0,0.05573375168878562
102,80,Soul of Bengaluru Photo Contest 2017,0,-0.007740470051578456
103,80,1st International Article Writing Competition 2017,0,0.11098645821858791
104,80,"Combating Corruption, Battling Black Money Competition 2017",0,0.056701644780612875
105,80,Solar Chulha Innovation Challenge 2017,0,0.021143311901899203
106,98,KTH Master's Challenge (Full Scholarship + Monthly Stipend),0,0.0
107,98,Marksman Call For Articles- November 2017,0,0.1507930113004896
108,98,Convergence 2017,0,0.1507930113004896
109,98,Prarambh 2018,0,0.0
110,98,Click India Photography Competition - Shot 3,0,0.20132339110618125
111,98,NEC IIT Bombay Presents The Entrepreneurship Quiz Challenge,0,0.0
112,98,Battleground 8.0,0,0.19424281698124246
113,98,ShopFloor,0,0.0
114,98,CrackItUp,0,0.0
115,98,NEC IIT Bombay Presents CodeSprint,0,0.0
116,98,Kamaal Dhamaal Bemisaal,0,0.0
117,98,Brainy Awards,0,0.0
118,98,Inquizito - Tickle Your Grey Cells,0,0.0
119,98,Finathon - Time To Trade!,0,0.0
120,98,Yalgaar - Time For Halla Bol!,0,0.0
121,98,IntellOps- Article Writing Competition By OpCellence,0,0.0
122,98,BIOCON PRESENTS SHOT OF LIFE,0,0.0
123,98,NEC IIT Bombay Presents Empresario,0,0.0
124,98,Rural Le Carte,0,0.0
125,98,The Fast Pay Story,0,0.0
126,98,"FINAcumen, IIM Nagpur",0,0.0
127,98,NEC IIT Bombay Presents Hashtrix,0,0.0
128,98,NEC IIT Bomaby Presents HackStack,0,0.0
129,98,Asia Pacific International Conference,0,0.0
130,98,Interview Question Of Year 2017,0,0.0
131,98,The Great Analytics Quiz,0,0.0
132,98,"Paper Presentation On ""  Effect Of App Based Learning In School Education (K-12)""",0,0.0
133,98,KDP Pen To Publish Contest,0,0.26526796509178036
134,98,Banjara International Film Festival 2017,0,0.33907871645721765
135,98,Spanish Guitar Competition 2017,0,0.26199720250520925
136,98,SSGK Maestro Olympiad,0,0.1005286742003264
137,98,Global Business Model Competition 2017,0,0.0158789107541074
138,98,National Geography Olympiad 2017,0,0.10186439250930687
139,98,NATS Talent Search,0,0.41088817629277846
140,98,JIFF ISC Script Contest,0,0.0
141,98,Maay Marathi Film Competition 2017,0,0.22452754394636618
142,98,Project Innovation Contest,0,0.1792692840078627
143,98,Dream Build Play 2017 Challenge,0,0.18689111559352936
144,98,Photography Competition 2017,0,0.20132339110618125
145,98,Asia Young Designer Award Contest,0,0.4063051520454761
146,98,GYTI Innovation Awards,0,0.0
147,98,Haryana Vigyan / Yuva Vigyan Ratna Awards 2017-18,0,0.3036720522379655
148,98,Dr. A P J Abdul Kalam National Legal Essay Competition 2017,0,0.2957362049910109
149,98,1st Justice P N Bhagwati Research Paper Writing Competition 2017,0,0.13143725866199124
150,98,Best International Future Lawyer Award 2017,0,0.0
151,98,Archasm Architecture Competition 2017,0,0.40364233641548136
152,98,4th National Essay Writing Competition 2018,0,-0.07751069153434036
153,98,India?s Storytellers/ Script Contest 2017-2018,0,0.1866923402302488
154,98,Third National Essay Competition on Water 2017-18,0,0.015865803125292913
155,98,Soul of Bengaluru Photo Contest 2017,0,0.02621946771759788
156,98,1st International Article Writing Competition 2017,0,0.4188617262651391
157,98,"Combating Corruption, Battling Black Money Competition 2017",0,0.07235329181665154
158,98,Solar Chulha Innovation Challenge 2017,0,0.007619405586983705
159,123,KTH Master's Challenge (Full Scholarship + Monthly Stipend),0,0.0
160,123,Marksman Call For Articles- November 2017,1,0.544527566390333
161,123,Convergence 2017,1,0.544527566390333
162,123,Prarambh 2018,0,0.0
163,123,Click India Photography Competition - Shot 3,1,0.5252387662737453
164,123,NEC IIT Bombay Presents The Entrepreneurship Quiz Challenge,0,0.0
165,123,Battleground 8.0,0,-0.08623782004148424
166,123,ShopFloor,0,0.0
167,123,CrackItUp,0,0.0
168,123,NEC IIT Bombay Presents CodeSprint,0,0.0
169,123,Kamaal Dhamaal Bemisaal,0,0.0
170,123,Brainy Awards,0,0.0
